demand_id,demand,synonyms
0,फ़सल ख़राब/फसल अफलन,"['फ़सल ख़राब', 'फसल पूर्ण रूप से नष्ट', 'फसल के नुकसान', 'फसल नुकसान', 'फसल खराब', 'फसल नुकसानी', 'फसल खराब', 'फसल में वायरस', 'फसल को खराब', 'फसल वायरस', 'फसल 100 प्रतिशत नुकसान', 'फसल तुषार', 'फसल की नुकसान', 'फसल नष्ट', 'फसल का नुकसानी', 'फसल बर्वाद', 'फसल के हुये नुकसान', 'फसल बर्बाद', 'फसल की नुकसानी', 'फसल का नुकसान', 'फसल में आग', 'फसल क्षति', 'फसल को नुकसान', 'नुकसान हुई फसल', 'फसल को हुये नुकसान', 'फसल को हुए नुकशान', 'फसल को हुए नुकसान', 'फसल सोयाबीन का नुकसानी', 'फसल नकली दवाई से खराब', 'फसल कीडे', 'फसल पूर्णत: खराब', 'फसल अज्ञात बिमारी', 'फसल बरबाद', 'फसल क्षति', 'फसल को शीतलहर', 'फसल पर पाला', 'फसल तबाही', 'फसल को हुये नुकसान', 'फसल नष्टग', 'फसल अफलन', 'फसल में अफलम', 'फसल बाझ', 'बांझपन', 'बंध्\u200dयता', 'वन्ध्यत्व', 'अनुर्वरता', 'अनुपजाऊता', 'निष्फलता']"
1,फसल बीमा,"['फसल की बीमा', 'फसलबीमा', 'फसल बीमा', 'फसलों की बीमा', 'फसलों के बीमा', 'फसल के नुकसान की बीमा', 'फसल का बीमा', 'फसल के उत्पाादन का बीमा', '(सोयाबीन) के बीमा', 'ओलावृष्टि का बीमा', 'फसलों का बीमा', 'फसल नुकसानी बीमा', 'फसल सोयाबीन का जो बीमा', 'फ़सल बीमा', 'फसलो का मुआवजा व बीमा', 'फसल खराब होने से बीमा', 'फसल 2017 की बीमा', 'फसल 2012 के बीमा']"
2,बाढ़ आना,['बाढ़']
3,बिजली बिल,"['बिजली बिल', 'बिजली के बील', 'बिजली के बिल', 'बिजली के बडे बडे बिल', 'बिजली मनमानी बिल', 'बिजली का बिल', 'बिजली के अधिक बिल', 'बिजली विभाग की मनमानी बिल', 'बिजली कंपनी का बिल', 'बिजली के बिलों', 'बिजली बिलों', 'विद्युत विल']"
4,बिजली की समस्या,"['बिजली की समस्या', 'बिजली दी जाए', 'बिजली काटने', 'बिजली दिए जाने', 'बिजली नहीं मिलने', 'बिजली उपलब्धं कराई', 'बिजली नहीं है', 'बिजली कटौती', 'बिजली कटोत्री', 'बिजली दिये', 'बिजली देने', 'बिजली अव्यवस्था', 'बिजली उपलब्ध', 'बिजली में वाल्टेल की समस्या', 'बिजली की ट्रिपिंग', 'बिजली प्रदाय', 'बिजली उपलब्धन', 'बिजली प्रदान', 'बिजली की व्यवस्था', 'समस्या जैसे बिजली', 'खाद, बिजली, सिचाई व बीज खरीदी संबंधी अन्य समस्याओं']"
5,खाद की कमी: यूरिया(Urea) डीएपी(DAP)/काला बाजारी,"['खाद की कमी: यूरिया (Uria), डीएपी (DAP)', 'खाद की कमी', 'खाद की समस्या', 'उर्वरक', 'उत्पादक', 'रासायनिक खाद', 'यूरिया', 'खाद् उपलब्धा', 'डीएपी', 'नकली खाद', 'खा, बीज की समस्या', 'खाद, बीज की समस्या', 'नकली खाद', 'अमानक उर्वरक', 'खाद बीज की समस्या', 'अमानक बीज खाद', 'नकली खाद व बीज', 'खाद्य बीज की समस्या', 'खाद, बिजली, सिचाई व बीज खरीदी संबंधी अन्य समस्याओं', 'खाद बीज न मिलना', 'मिलावटी खाद', 'खाद्य ना मिलने', 'खाद्य यूरिया, एवं बीज की व्यवस्था की जा', 'खाद्य की व्यवस्था', 'खाद् बीच उपलब्ध', 'खाद् बीज उपलब्ध्', 'खाद् बीज उपलब्ध', 'काला बाजारी']"
6,बीज की समस्या,"['बीज की कमी', 'बीज की समस्या', 'बीज के उपयोग को रोकने', 'बीज का शीघ्र वितरण', 'बीज के दाम कम', 'जीएम बीज का विरोध', 'बीज आदि ज्वलंत समस्याओं', 'समस्या जैसे बिजली, बीज', 'नकली खाद बीज', 'बीज की समस्याऍं', 'बीज की समस्या', 'खा, बीज की समस्या', 'नकली बीज', 'बीज अंकुरण', 'नकली खाद बीज', 'बीज का अधिकार', 'अमानक उर्वरक और बीज', 'अमानक बीज', 'नकली खाद व बीज', 'खाद, बिजली, सिचाई व बीज खरीदी संबंधी अन्य समस्याओं', 'बीज न मिलना', 'मिलावटी खाद- बीज', 'बीज की व्यवस्था की जा', 'बीज उपलब्ध्', 'बीज उपलब्ध']"
7,नहरों का पानी/सिचाई समस्या,"['सिचाई की समस्या', 'सिंचाई', 'सिंचन', 'सिचाई', 'असिंचित', 'नहरों का पानी', 'नहरों में पानी', 'नहरों से पर्याप्ते पानी']"
8,मूल्य न मिलना(Minimum Support Price(MSP)),"['मूल्य न मिलना', 'लाभकारी मूल्य', 'मूल्य लागत के अनुसार नही दिया', 'लाभ कारी मूल्य', 'कम कीमत', 'कीमत गिरने', 'उचित कीमत', 'बिकरी ना होना', 'बिकरी ना होना', 'बिक्री जल्द प्रारंभ', 'बिक्री रूक', 'बिक्री पर पांबदी', 'फसलों की बिक्री', 'अनाज बिक्री', 'उपज बिक्री', 'बिक्री नहीं होने', 'दाम कम', 'MSP', 'Minimum Support Price', 'एमएसपी', 'न्यूनतम समर्थन मूल्य', 'समर्थन मूल्य']"
9,किसानों द्वारा आत्महत्या/आत्महत्या का प्रयास,"['आत्मा हत्या', 'आत्महत्या', 'ख़ुदकुशी', 'आत्मघात', 'सूसाइड', 'स्यूसाइड', 'आत्म हत्या्', 'फांसी', 'जहर खा', 'आत्म हत्या', 'suicide']"
